trial_index,subtask,session,loop,trial_id_global,category,sentence,sentence_frame,foil_sentence,foil_sentence_frame,foil_type,chunk_frequency_type,gj_grammatical,gj_error_type,held_out_probe_type,held_out_probe_instance,distractor_words,all_words,previous_encounters,trial_type
1,passive,2,1,43,target,SBJ.N1 GO-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
2,passive,2,1,44,target,OBJ.N5 SBJ.N3 REVEAL-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
3,passive,2,1,45,target,OBJ.N5 SBJ.N2 PUSH-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
4,passive,2,1,46,target,SBJ.N1 GO-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
5,passive,2,1,47,target,OBJ.N5 SBJ.N4 HIDE-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
6,passive,2,1,48,target,SBJ.N2 HIDE-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
7,passive,2,1,49,target,OBJ.N5 SBJ.N3 REVEAL-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
8,passive,2,1,50,target,SBJ.N3 JUMP-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
9,passive,2,1,51,target,SBJ.N5 REVEAL-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
10,passive,2,1,52,target,OBJ.N5 SBJ.N4 HIDE-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
11,passive,2,1,53,target,SBJ.N3 JUMP-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
12,passive,2,1,54,target,OBJ.N5 SBJ.N2 PUSH-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
13,passive,2,1,55,target,OBJ.N5 SBJ.N1 HIDE-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
14,passive,2,1,56,target,SBJ.N2 HIDE-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
15,passive,2,1,57,target,OBJ.N5 SBJ.N2 PUSH-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
