trial_index,subtask,session,loop,trial_id_global,category,sentence,sentence_frame,foil_sentence,foil_sentence_frame,foil_type,chunk_frequency_type,gj_grammatical,gj_error_type,held_out_probe_type,held_out_probe_instance,distractor_words,all_words,previous_encounters,trial_type
1,passive,3,1,375,target,OBJ.N5 SBJ.N1 PUSH-TR Ab LOC.N2,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
2,passive,3,1,376,target,Ab SBJ.N4 REVEAL-INTR LOC.N5,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
3,passive,3,1,377,target,OBJ.N5 SBJ.N2 HIDE-TR Ab LOC.N4,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
4,passive,3,1,378,target,Ab SBJ.N4 REVEAL-INTR Ab LOC.N5,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
5,passive,3,1,379,target,OBJ.N5 Ab SBJ.N4 REVEAL-TR Ab LOC.N1,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
6,passive,3,1,380,target,SBJ.N3 REVEAL-INTR Ab LOC.N2,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
7,passive,3,1,381,target,OBJ.N5 SBJ.N4 HIDE-TR Ab LOC.N2,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
8,passive,3,1,382,target,Ab SBJ.N2 HIDE-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
9,passive,3,1,383,target,SBJ.N5 REVEAL-INTR Ab LOC.N4,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
10,passive,3,1,384,target,OBJ.N5 Ab SBJ.N1 PUSH-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
11,passive,3,1,385,target,SBJ.N5 REVEAL-INTR Ab LOC.N3,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
12,passive,3,1,386,target,OBJ.N5 Ab SBJ.N4 REVEAL-TR LOC.N3,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
13,passive,3,1,387,target,SBJ.N3 JUMP-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
14,passive,3,1,388,target,Ab OBJ.N5 Ab SBJ.N3 REVEAL-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
15,passive,3,1,389,target,OBJ.N5 Ab SBJ.N4 PUSH-TR Ab LOC.N2,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
16,passive,3,1,390,target,Ab SBJ.N3 REVEAL-INTR LOC.N4,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
17,passive,3,1,391,target,Ab SBJ.N2 GO-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
18,passive,3,1,392,target,OBJ.N5 SBJ.N2 HIDE-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
19,passive,3,1,393,target,Ab OBJ.N5 Ab SBJ.N1 REVEAL-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
20,passive,3,1,394,target,OBJ.N5 Ab SBJ.N4 PUSH-TR LOC.N3,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
21,passive,3,1,395,target,SBJ.N1 GO-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
22,passive,3,1,396,target,Ab OBJ.N5 SBJ.N1 HIDE-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
23,passive,3,1,397,target,OBJ.N5 Ab SBJ.N3 HIDE-TR LOC.N4,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
24,passive,3,1,398,target,Ab SBJ.N2 HIDE-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
25,passive,3,1,399,target,Ab OBJ.N5 SBJ.N2 REVEAL-TR Ab LOC.N1,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
26,passive,3,1,400,target,Ab SBJ.N1 JUMP-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
27,passive,3,1,401,target,OBJ.N5 SBJ.N2 PUSH-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
28,passive,3,1,402,target,Ab SBJ.N4 JUMP-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
29,passive,3,1,403,target,Ab OBJ.N5 Ab SBJ.N2 REVEAL-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
30,passive,3,1,404,target,OBJ.N5 SBJ.N2 PUSH-TR LOC.N4,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
31,passive,3,1,405,target,OBJ.N5 Ab SBJ.N2 HIDE-TR Ab LOC.N3,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
32,passive,3,1,406,target,Ab SBJ.N3 GO-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
33,passive,3,1,407,target,SBJ.N5 HIDE-INTR,SBJ-V.INTR,,,,,,,,,,,,passive
34,passive,3,1,408,target,Ab SBJ.N5 HIDE-INTR LOC.N2,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
35,passive,3,1,409,target,SBJ.N3 JUMP-INTR Aa LOC.N4,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
36,passive,3,1,410,target,Ab SBJ.N5 GO-INTR Aa LOC.N3,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
37,passive,3,1,411,target,Ab SBJ.N4 HIDE-INTR Aa LOC.N3,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
38,passive,3,1,412,target,Aa SBJ.N1 GO-INTR Aa LOC.N4,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
39,passive,3,1,413,target,Ab SBJ.N1 JUMP-INTR LOC.N4,SBJ-V.INTR-LOC,,,,,,,,,,,,passive
40,passive,3,1,414,target,Ab OBJ.N5 Ab SBJ.N3 REVEAL-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
41,passive,3,1,415,target,Ab OBJ.N5 SBJ.N4 PUSH-TR LOC.N2,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,passive
42,passive,3,1,416,target,Ab OBJ.N5 SBJ.N4 REVEAL-TR,OBJ-SBJ-V.TR,,,,,,,,,,,,passive
1,comprehension,3,1,417,target,Ab SBJ.N3 REVEAL-INTR Ab LOC.N2,SBJ-V.INTR-LOC,Aa SBJ.N3 HIDE-INTR Ab LOC.N2,SBJ-V.INTR-LOC,wrong_verb_wrong_adjective,,,,,,,,,comprehension
2,comprehension,3,1,418,target,OBJ.N5 Ab SBJ.N3 PUSH-TR Ab LOC.N2,OBJ-SBJ-V.TR-LOC,OBJ.N5 Ab SBJ.N3 REVEAL-TR Ab LOC.N2,OBJ-SBJ-V.TR-LOC,wrong_verb,,,,,,,,,comprehension
3,comprehension,3,1,419,target,SBJ.N5 REVEAL-INTR LOC.N4,SBJ-V.INTR-LOC,SBJ.N4 HIDE-INTR LOC.N5,SBJ-V.INTR-LOC,swapped_roles_wrong_verb,,,,,,,,,comprehension
4,comprehension,3,1,420,target,OBJ.N5 SBJ.N1 REVEAL-TR Ab LOC.N4,OBJ-SBJ-V.TR-LOC,OBJ.N5 Aa SBJ.N4 REVEAL-TR LOC.N1,OBJ-SBJ-V.TR-LOC,wrong_adjective_swapped_roles,,,,,,,,,comprehension
5,comprehension,3,1,421,target,Ab SBJ.N4 REVEAL-INTR LOC.N5,SBJ-V.INTR-LOC,Aa SBJ.N4 REVEAL-INTR LOC.N5,SBJ-V.INTR-LOC,wrong_adjective,,,,,,,,,comprehension
6,comprehension,3,1,422,target,Ab OBJ.N5 Ab SBJ.N2 HIDE-TR LOC.N4,OBJ-SBJ-V.TR-LOC,Ab OBJ.N2 Ab SBJ.N5 HIDE-TR LOC.N4,OBJ-SBJ-V.TR-LOC,swapped_roles,,,,,,,,,comprehension
7,comprehension,3,1,423,target,OBJ.N5 SBJ.N1 REVEAL-TR Ab LOC.N2,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 HIDE-TR Aa LOC.N2,OBJ-SBJ-V.TR-LOC,wrong_verb_wrong_adjective,,,,,,,,,comprehension
8,comprehension,3,1,424,target,Ab OBJ.N5 Ab SBJ.N4 PUSH-TR,OBJ-SBJ-V.TR,Ab OBJ.N5 Ab SBJ.N4 REVEAL-TR,OBJ-SBJ-V.TR,wrong_verb,,,,,,,,,comprehension
9,comprehension,3,1,425,target,Ab SBJ.N3 REVEAL-INTR LOC.N5,SBJ-V.INTR-LOC,SBJ.N5 REVEAL-INTR Aa LOC.N3,SBJ-V.INTR-LOC,wrong_adjective_swapped_roles,,,,,,,,,comprehension
10,comprehension,3,1,426,target,SBJ.N3 JUMP-INTR,SBJ-V.INTR,SBJ.N3 GO-INTR,SBJ-V.INTR,wrong_verb,,,,,,,,,comprehension
11,comprehension,3,1,427,target,Ab SBJ.N5 HIDE-INTR,SBJ-V.INTR,Aa SBJ.N5 HIDE-INTR,SBJ-V.INTR,wrong_adjective,,,,,,,,,comprehension
12,comprehension,3,1,428,target,SBJ.N2 REVEAL-INTR Ab LOC.N3,SBJ-V.INTR-LOC,Ab SBJ.N3 GO-INTR LOC.N2,SBJ-V.INTR-LOC,swapped_roles_wrong_verb,,,,,,,,,comprehension
13,comprehension,3,1,429,target,Ab OBJ.N5 Ab SBJ.N3 HIDE-TR LOC.N4,OBJ-SBJ-V.TR-LOC,Ab OBJ.N5 SBJ.N4 HIDE-TR Ab LOC.N3,OBJ-SBJ-V.TR-LOC,swapped_roles,,,,,,,,,comprehension
