passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,születési dátum (ÉÉÉÉ.HH.NN),date,expName,psychopyVersion,OS,frameRate,comprehensionTrial.started,comprehension.sessionIndex,comprehension.correctPosition,comprehension.response,comprehension.rt,comprehension.correct,comprehension.t_sentenceAudioEnd,comprehension.t_lastChoiceClick,comprehensionTrial.stopped,comprehensionTrials_s1.thisRepN,comprehensionTrials_s1.thisTrialN,comprehensionTrials_s1.thisN,comprehensionTrials_s1.thisIndex,comprehensionTrials_s1.ran,sentence,video_correct,video_incorrect,productionTrial.started,production.sessionIndex,production.video,production.correct_words,production.all_words,production.correct_words_form,production.all_words_form,production.correct,production.t_firstVideoEnd,production.t_lastWordClick,production.response,productionTrial.stopped,productionTrials_s1.thisRepN,productionTrials_s1.thisTrialN,productionTrials_s1.thisN,productionTrials_s1.thisIndex,productionTrials_s1.ran,video,correct_words,all_words,sentence_form,correct_words_form,all_words_form,familiarityTrial.started,familiarity.testName,familiarity.thisN,familiarity.sessionIndex,familiarity.audio,familiarity.previous_encounters,familiarity.playAttemptTime,familiarity.rating,familiarity.playClickCount,familiarity.t_audioEnd,familiarity.t_lastLikertClick,familiarityTrial.stopped,chunkTest_s1.thisRepN,chunkTest_s1.thisTrialN,chunkTest_s1.thisN,chunkTest_s1.thisIndex,chunkTest_s1.ran,audio,previous_encounters,GJTest_s1.thisRepN,GJTest_s1.thisTrialN,GJTest_s1.thisN,GJTest_s1.thisIndex,GJTest_s1.ran,passiveTrials_s2.thisRepN,passiveTrials_s2.thisTrialN,passiveTrials_s2.thisN,passiveTrials_s2.thisIndex,passiveTrials_s2.ran,comprehensionTrials_s2.thisRepN,comprehensionTrials_s2.thisTrialN,comprehensionTrials_s2.thisN,comprehensionTrials_s2.thisIndex,comprehensionTrials_s2.ran,productionTrials_s2.thisRepN,productionTrials_s2.thisTrialN,productionTrials_s2.thisN,productionTrials_s2.thisIndex,productionTrials_s2.ran,chunkTest_s2.thisRepN,chunkTest_s2.thisTrialN,chunkTest_s2.thisN,chunkTest_s2.thisIndex,chunkTest_s2.ran,GJTest_s2.thisRepN,GJTest_s2.thisTrialN,GJTest_s2.thisN,GJTest_s2.thisIndex,GJTest_s2.ran
60.7098,1,OBJ-N5-SBJ-N1-PUSH-TR-Ab-LOC-N2.mp4,OBJ-N5-SBJ-N1-PUSH-TR-Ab-LOC-N2.mp3,126.4055,mouse_continue,65.7086,,0,0,0,0,1,1,OBJ-N5-SBJ-N1-PUSH-TR-Ab-LOC-N2.mp4,OBJ-N5-SBJ-N1-PUSH-TR-Ab-LOC-N2.mp3,ALP1108,1962.03.12,2026-05-02_12h18.27.930,BrocantoHPilot1WOSession3,2025.2.4,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.4094,1,Ab-SBJ-N4-REVEAL-INTR-LOC-N5.mp4,Ab-SBJ-N4-REVEAL-INTR-LOC-N5.mp3,164.3091,mouse_continue,37.9004,,0,1,1,1,1,1,Ab-SBJ-N4-REVEAL-INTR-LOC-N5.mp4,Ab-SBJ-N4-REVEAL-INTR-LOC-N5.mp3,ALP1108,1962.03.12,2026-05-02_12h18.27.930,BrocantoHPilot1WOSession3,2025.2.4,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164.3128,1,OBJ-N5-SBJ-N2-HIDE-TR-Ab-LOC-N4.mp4,OBJ-N5-SBJ-N2-HIDE-TR-Ab-LOC-N4.mp3,188.1069,mouse_continue,23.7946,,0,2,2,2,1,1,OBJ-N5-SBJ-N2-HIDE-TR-Ab-LOC-N4.mp4,OBJ-N5-SBJ-N2-HIDE-TR-Ab-LOC-N4.mp3,ALP1108,1962.03.12,2026-05-02_12h18.27.930,BrocantoHPilot1WOSession3,2025.2.4,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188.1082,1,Ab-SBJ-N4-REVEAL-INTR-Ab-LOC-N5.mp4,Ab-SBJ-N4-REVEAL-INTR-Ab-LOC-N5.mp3,208.1772,mouse_continue,20.0692,,0,3,3,3,1,1,Ab-SBJ-N4-REVEAL-INTR-Ab-LOC-N5.mp4,Ab-SBJ-N4-REVEAL-INTR-Ab-LOC-N5.mp3,ALP1108,1962.03.12,2026-05-02_12h18.27.930,BrocantoHPilot1WOSession3,2025.2.4,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208.1782,1,OBJ-N5-Ab-SBJ-N4-REVEAL-TR-Ab-LOC-N1.mp4,OBJ-N5-Ab-SBJ-N4-REVEAL-TR-Ab-LOC-N1.mp3,230.5087,mouse_continue,22.3308,,0,4,4,4,1,1,OBJ-N5-Ab-SBJ-N4-REVEAL-TR-Ab-LOC-N1.mp4,OBJ-N5-Ab-SBJ-N4-REVEAL-TR-Ab-LOC-N1.mp3,ALP1108,1962.03.12,2026-05-02_12h18.27.930,BrocantoHPilot1WOSession3,2025.2.4,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230.5123,1,SBJ-N3-REVEAL-INTR-Ab-LOC-N2.mp4,SBJ-N3-REVEAL-INTR-Ab-LOC-N2.mp3,252.6178,mouse_continue,22.1028,,0,5,5,5,1,1,SBJ-N3-REVEAL-INTR-Ab-LOC-N2.mp4,SBJ-N3-REVEAL-INTR-Ab-LOC-N2.mp3,ALP1108,1962.03.12,2026-05-02_12h18.27.930,BrocantoHPilot1WOSession3,2025.2.4,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252.6191,1,OBJ-N5-SBJ-N4-HIDE-TR-Ab-LOC-N2.mp4,OBJ-N5-SBJ-N4-HIDE-TR-Ab-LOC-N2.mp3,276.7218,mouse_continue,24.1028,,0,6,6,6,1,1,OBJ-N5-SBJ-N4-HIDE-TR-Ab-LOC-N2.mp4,OBJ-N5-SBJ-N4-HIDE-TR-Ab-LOC-N2.mp3,ALP1108,1962.03.12,2026-05-02_12h18.27.930,BrocantoHPilot1WOSession3,2025.2.4,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276.7256,1,Ab-SBJ-N2-HIDE-INTR.mp4,Ab-SBJ-N2-HIDE-INTR.mp3,289.0843,mouse_continue,12.359,,0,7,7,7,1,1,Ab-SBJ-N2-HIDE-INTR.mp4,Ab-SBJ-N2-HIDE-INTR.mp3,ALP1108,1962.03.12,2026-05-02_12h18.27.930,BrocantoHPilot1WOSession3,2025.2.4,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289.0876,1,SBJ-N5-REVEAL-INTR-Ab-LOC-N4.mp4,SBJ-N5-REVEAL-INTR-Ab-LOC-N4.mp3,318.747,mouse_continue,29.6599,,0,8,8,8,1,1,SBJ-N5-REVEAL-INTR-Ab-LOC-N4.mp4,SBJ-N5-REVEAL-INTR-Ab-LOC-N4.mp3,ALP1108,1962.03.12,2026-05-02_12h18.27.930,BrocantoHPilot1WOSession3,2025.2.4,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318.7508,1,OBJ-N5-Ab-SBJ-N1-PUSH-TR.mp4,OBJ-N5-Ab-SBJ-N1-PUSH-TR.mp3,341.2195,mouse_continue,22.4694,,0,9,9,9,1,1,OBJ-N5-Ab-SBJ-N1-PUSH-TR.mp4,OBJ-N5-Ab-SBJ-N1-PUSH-TR.mp3,ALP1108,1962.03.12,2026-05-02_12h18.27.930,BrocantoHPilot1WOSession3,2025.2.4,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
