wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,session,date,expName,psychopyVersion,OS,frameRate
0,2,Aa-1.png,Aa.mp3,569.4281,1,Ab-2.png,"2,0,1,5",1,1,5,1111111,635.2396,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,649.7525,mouse_continue,14.5133,,0,0,0,0,1,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,ALP1201,1,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,649.7538,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,SBJ-N4-OBJ-N5-PUSH-TR.mp3,668.3178,mouse_continue,18.5642,,0,1,1,1,1,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,SBJ-N4-OBJ-N5-PUSH-TR.mp3,ALP1201,1,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,668.319,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-HIDE-TR-SBJ-N1.mp3,676.6173,mouse_continue,8.2984,,0,2,2,2,1,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-HIDE-TR-SBJ-N1.mp3,ALP1201,1,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,676.619,1,SBJ-N1-HIDE-INTR.mp4,HIDE-INTR-SBJ-N1.mp3,685.0164,mouse_continue,8.3977,,0,3,3,3,1,1,SBJ-N1-HIDE-INTR.mp4,HIDE-INTR-SBJ-N1.mp3,ALP1201,1,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,685.0177,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,696.0657,mouse_continue,11.0484,,0,4,4,4,1,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,ALP1201,1,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,696.0671,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,707.1324,mouse_continue,11.0655,,0,5,5,5,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,ALP1201,1,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,707.1336,1,SBJ-N2-GO-INTR.mp4,GO-INTR-SBJ-N2.mp3,720.1649,mouse_continue,13.0314,,0,6,6,6,1,1,SBJ-N2-GO-INTR.mp4,GO-INTR-SBJ-N2.mp3,ALP1201,1,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,720.1665,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,SBJ-N1-OBJ-N5-PUSH-TR.mp3,734.0306,mouse_continue,13.8644,,0,7,7,7,1,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,SBJ-N1-OBJ-N5-PUSH-TR.mp3,ALP1201,1,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,734.0317,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,744.3131,mouse_continue,10.2815,,0,8,8,8,1,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,ALP1201,1,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,744.3145,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,SBJ-N2-REVEAL-TR-OBJ-N5.mp3,771.545,mouse_continue,27.231,,0,9,9,9,1,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,SBJ-N2-REVEAL-TR-OBJ-N5.mp3,ALP1201,1,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
