trial_index,subtask,session,loop,trial_id_global,category,sentence,sentence_morph,sentence_form,sentence_frame,foil_sentence,foil_sentence_morph,foil_sentence_frame,foil_type,chunk_frequency_type,gj_grammatical,gj_error_type,held_out_probe_type,held_out_probe_instance,held_out_probe_instance_morph,correct_words,correct_words_form,distractor_words,all_words,all_words_form,previous_encounters,trial_type,audio_1,audio_2,video_1,video_2
1,passive,2,1,43,target,SBJ.N1 GO-INTR,SBJ.N1 GO-INTR,pif-pekli kávler,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,SBJ-N1-GO-INTR.mp3,,SBJ-N1-GO-INTR.mp4,
2,passive,2,1,44,target,OBJ.N5 SBJ.N3 REVEAL-TR,OBJ.N5 REVEAL-TR SBJ.N3,fer-timó girda pif-zilép,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,
3,passive,2,1,45,target,OBJ.N5 SBJ.N2 PUSH-TR,SBJ.N2 OBJ.N5 PUSH-TR,pif-murak fer-timó vánta,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,SBJ-N2-OBJ-N5-PUSH-TR.mp3,,OBJ-N5-SBJ-N2-PUSH-TR.mp4,
4,passive,2,1,46,target,SBJ.N1 GO-INTR,SBJ.N1 GO-INTR,pif-pekli kávler,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,SBJ-N1-GO-INTR.mp3,,SBJ-N1-GO-INTR.mp4,
5,passive,2,1,47,target,OBJ.N5 SBJ.N4 HIDE-TR,SBJ.N4 HIDE-TR OBJ.N5,pif-dabi zsübe fer-timó,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,SBJ-N4-HIDE-TR-OBJ-N5.mp3,,OBJ-N5-SBJ-N4-HIDE-TR.mp4,
6,passive,2,1,48,target,SBJ.N2 HIDE-INTR,SBJ.N2 HIDE-INTR,pif-murak zsübe,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,SBJ-N2-HIDE-INTR.mp3,,SBJ-N2-HIDE-INTR.mp4,
7,passive,2,1,49,target,OBJ.N5 SBJ.N3 REVEAL-TR,OBJ.N5 REVEAL-TR SBJ.N3,fer-timó girda pif-zilép,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,
8,passive,2,1,50,target,SBJ.N3 JUMP-INTR,JUMP-INTR SBJ.N3,bonip pif-zilép,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,JUMP-INTR-SBJ-N3.mp3,,SBJ-N3-JUMP-INTR.mp4,
9,passive,2,1,51,target,SBJ.N5 REVEAL-INTR,SBJ.N5 REVEAL-INTR,pif-timó girda,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,SBJ-N5-REVEAL-INTR.mp3,,SBJ-N5-REVEAL-INTR.mp4,
10,passive,2,1,52,target,OBJ.N5 SBJ.N4 HIDE-TR,SBJ.N4 HIDE-TR OBJ.N5,pif-dabi zsübe fer-timó,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,SBJ-N4-HIDE-TR-OBJ-N5.mp3,,OBJ-N5-SBJ-N4-HIDE-TR.mp4,
